1895,7,6,43,124,1380141093
1nob,46,36,633,1066,1379989218
3jmi_101,5,4,34,38,1378347765
5exycutePdm,61,106,1739,4014,1378245265
5w0rdyy,0,407,4051,10339,1379980953
8694,13,4,48,39,1416732953
86i,0,0,0,0,1416884437
88flawless,16,10,472,75,1378248125
ADHDenjoyer,221,180,24,9,1380141828
ALXN_2010,11,5,19,72,1416883875
Animal_Gaming,6,4,29,39,1378250015
Anteq123,7,4,27,33,1378355078
BENANDJERIES,43,6,107,1,1379992265
BREGOLINN,0,118,1670,1075,1417073687
B_gamer,0,837,10789,6414,1378354218
Bence681,15,5,94,38,1380143171
BiggDmike,28,26,730,566,1379992765
Bonnerxxz,10,4,51,46,1416756890
Borstentier,18,16,138,306,1378243203
C0RDE1R0,0,0,0,0,1416733343
Cavesshu,26,15,348,326,1417339656
Celch05,15,15,56,429,1379999703
ChunkyLoverYuti,55,102,641,2145,1378249046
CrazyDBC,19,10,236,102,1379988781
DLS_TOD,67,62,406,1322,1379989484
DarkPresidentTV,12,5,14,71,1379985187
Davizoca4000,37,40,420,1275,1378230140
Deoxys_1,9,3,10,19,1417630203
Dewier___,30,32,842,326,1378357843
Doom_Jim,32,21,345,632,1379979875
Dora7110,6,1,0,0,1378353234
Doylees,86,125,1559,947,1378351484
EnLunelli,2,0,0,0,1417340078
Endderboy,0,228,3583,2703,1379991750
FOSTER_V2,22,12,5,1,1378797171
FraudulentUser,8,2,3,4,1378253250
Frejander,9,7,3,169,1379992968
Furmiga_,3,2,14,8,1417630609
FuxJunge,32,68,800,3831,1378244265
GTO_697,39,52,458,569,1378246078
Gimbouza,10,6,45,92,1380140515
GrEEsa,74,1,0,0,1379983312
Graffle,11,8,628,0,1379998781
GrimWatcher_,18,17,63,379,1378242984
Guki13,31,41,224,1,1378352265
H7SS,13,6,87,132,1378357625
HI_FINN99,7,4,2,49,1378355250
HamuDebu,47,17,335,367,1379986812
HeatLear45,24,22,178,548,1379981921
HotGoth,18,20,448,186,1378358125
Hureecane,46,4,14,25,1378245687
IDontHaveCancer,63,69,800,2282,1417628546
INZYS00,23,28,428,1239,1378247656
IShowJuice,32,33,501,965,1378355437
Inflluera,27,9,29,168,1378245046
Ispookz_,62,45,1139,1106,1378240828
Itron88,1,1,2,7,1379980421
JAMMIN1978,1,1,0,5,1378241671
JHESS6648K,0,700,15063,4022,1378351968
Jaskuli,0,599,12073,3549,1379561343
Jeppe_Maxx,14,7,83,146,1380142015
Jeremiah_CN_,34,96,656,332,1379997734
Jezev3c,6,3,32,18,1379983890
Johann_Pachelbel,47,32,415,530,1378247015
Justix331,7,6,16,73,1379986218
Jvluss,6,4,4,15,1378797796
K4ELN,2,3,6,6,1416817859
Kaizs_,0,755,19116,7840,1379984953
Kesiesie,77,80,1934,476,1378241437
Kevinkk1777,6,4,18,75,1378229953
Kiara_WhiteDevil,3,2,4,10,1378249250
Kinyakk,77,72,811,1892,1378250203
KralOyunda420,36,19,650,268,1378236062
Krewier,38,19,495,598,1378347390
Kyrensic,0,508,13918,5511,1378248875
LACMAR,20,1,0,0,1378353406
LOWCARINSUF,0,1020,32611,2173,1416743843
Laariih,0,0,0,0,1416730718
LeSuikerwafel,68,12,175,173,1378354906
Liam1091,1,0,0,0,1416721515
M4N0_K,2,1,0,2,1417078015
MCparty1568,16,10,195,123,1378352656
MOMEHT,75,151,1678,1048,1379998156
Marsho__,10,7,120,85,1379467250
MasikCraft,3,2,5,7,1378243546
MelCrafter,96,188,2192,1369,1378231171
MeleneOrfeaa,7,4,84,30,1378353625
Mentalidade,75,30,527,120,1416731140
MentosPvP,1,1,0,1,1416735718
Mi_Ri_Mi2,3,4,10,8,1379981125
Miguel_Gamer494,26,13,376,226,1416733984
Mikylyoko,56,2,6,6,1378233343
MooiniN,110,420,4249,1781,1379985765
NFNoodles,10,10,55,400,1379468156
Nicola2505,46,134,553,2525,1378251968
Ninju_,21,12,228,60,1379991421
NoWayScott,66,90,2,1870,1378345859
NotFakeAndre,6,6,14,84,1378229765
NotTheRealBibi,42,43,863,936,1379997453
Noturn0,1,1,1,4,1417077625
Oisanz21SV,0,1,0,0,1378251484
OliveiraxXY_v1,3,1,3,3,1417338015
OwOCN,0,433,7558,3761,1379987484
Papa_Marx,45,20,164,1269,1379980046
Paulostation,4,1,4,3,1417340843
Phyroooo,2,2,4,3,1417077234
Puppydummy,37,38,282,586,1378353875
QuietErdem_,19,10,324,216,1378796171
RenruMC,5,5,83,62,1379980593
RuinedPVP,16,8,130,252,1380141500
Russel_Sprout,1,1,1,3,1378242781
S2FlMrZawe,38,55,513,1717,1378244640
SaanMye,4,2,16,21,1417342593
Saphydot,0,295,5988,2884,1378247937
Scazblood_,33,8,64,838,1379990734
ShroudGenius,12,12,114,560,1378231343
Sk1rtZZ,28,10,173,99,1380139921
Somagatto,7,3,13,65,1416905921
SoulyGuy_,10,5,25,50,1378347562
Spayzinn,2,1,5,6,1416883500
SpeedSnez,9,1,0,0,1378252984
Spoilz,0,655,17989,6095,1422023453
Squidixs,4,2,6,11,1378232937
Sr_Limonada,21,19,155,509,1379990984
Steve144144,30,11,28,214,1380000000
TOMANDJERIES,0,413,8265,3870,1378232187
ToraSeca24,2,1,5,7,1416733781
ToxicBreads,1,1,2,9,1378352843
Troy_D2008,70,144,2049,3163,1416879640
UltrasVU19B,2,2,3,13,1378252578
ViruxBw,25,26,701,639,1378351171
Vxping_,254,955,23446,5914,1380142281
WSD0,15,11,347,17,1378235109
WedRex10,0,1,0,1,1378353031
Wgurvis,32,18,85,639,1378252390
WolfClubs,3,1,1,2,1378347968
Woooooooff,11,8,227,135,1379993625
XSET_FRAGZ,33,37,151,818,1378351687
Xql1,22,40,453,1739,1379468390
Yasushi0320,86,193,3457,4867,1378230984
YavorProMc,5,6,10,164,1378253625
YoungJaySpooky,75,158,1244,1721,1378355671
Zerophyxe,50,23,551,519,1378235875
Zyraxen,75,123,842,1503,1378251750
_Rexsu_,46,26,297,427,1379986546
_Unwanted_,27,41,617,1,1380141312
affectxk,0,391,5267,2587,1378246843
ammarals1430,1,2,2,4,1378347187
amxz67,1,1,1,1,1378352468
anamorphia,54,9,191,13,1378244453
angeloser22,2,2,0,3,1379996500
anubisthegod,0,165,3193,1824,1378355953
astro7_,13,4,56,14,1416732750
auxra,115,336,6159,3770,1379469359
axmirt,10,8,134,166,1379467437
ba1xnce,0,606,18016,6530,1379983078
bc2307,34,18,142,270,1378244000
best121,4,3,5,29,1378245875
bezakos,49,7,109,12,1378796796
bluemake,21,17,212,241,1380140312
bobbyg6,0,616,11270,3275,1379994062
braindeathV1,0,911,28024,3389,1378346609
catarinenseh,2,1,4,3,1416731578
clement_mamad,2,3,0,12,1379979703
coldifine,22,14,563,869,1378233125
cuk1,3,4,13,1,1416905750
d8mel,0,445,2,4157,1378230781
dank_meeeeemes,32,12,122,365,1379979515
dernelz,6,6,23,138,1378806859
ego_mais_aura,8,2,11,7,1416815765
eitaaaaaaaaaaa,75,217,1088,2740,1379994375
faschia,0,171,4400,1,1378234921
fatpengg,65,123,1864,2280,1376775921
gplaytry,2,1,0,0,1416755765
gupergames,78,5,34,67,1378251312
haru3144,9,5,51,29,1379998968
heracrossing,6,10,31,197,1378245437
hmoodi2comp,17,21,265,649,1380140921
iTakyyy,19,7,185,60,1416906609
i_noob,0,336,5658,2003,1378233906
inBuffy,15,6,143,58,1378796343
isimsizinsan,6,3,2,10,1378253453
jimhit00192,6,2,9,10,1378244843
junnz3,39,33,267,1143,1379984156
justaping,27,6,209,295,1378252171
kay7xz_,1,1,0,0,1417339484
kbc1020,2,2,6,18,1378241859
kimjh_1,19,8,217,129,1378235578
ktjue,27,13,86,308,1379986031
kwin07,0,1,0,0,1416883671
leaf_1296,3,2,6,15,1379997906
lelejp,20,8,154,81,1416734437
lewistx_bw,1,1,3,9,1416878796
liuyixuanQAQ,9,6,32,64,1379996328
lkhz,22,17,247,419,1417077828
lok0904,13,8,68,144,1379982125
loveycandy,206,761,20066,4330,1378357437
manmtmt,11,6,68,104,1378236250
marinavn,11,7,30,66,1379989703
matheis242,0,1,0,3,1378346968
mcyy444,38,30,395,548,1379994656
menorquente,5,3,15,5,1417076093
metallaxis,0,55,632,1406,1378248375
muyfatal,16,11,227,257,1378797625
nar_minecraft_,0,1,0,0,1379980750
netohx999,2,1,7,4,1417629296
nnqu,53,19,165,456,1378796984
noh2032442,0,498,7654,9464,1378237250
noxq,0,516,10856,3281,1379561921
nsj08,73,34,555,254,1379993234
nutella048,5,1,5,4,1417073218
ojzo,2,2,14,13,1380140109
osaka_dayo,26,26,729,642,1378229562
purinw,0,1071,11,13,1379988531
qblu_,21,11,50,226,1380142968
qealmm,7,1,3,9,1417337109
randy1423,1,2,0,29,1380142734
rufiz,6,5,3,60,1379985390
santzzmidia,0,1,1,1,1416739968
sb_Pro_Max,48,34,1227,306,1378241203
scout2212,14,14,111,409,1378243781
smbrux,12,7,124,105,1380140718
smelting_fire,10,15,27,345,1378246453
sp1g,0,378,10104,3126,1379998609
sparkycake00,52,1,0,2,1378346812
sphinks2468,79,60,545,1052,1378237671
ssa123,17,6,61,97,1378230453
starrycane,1,2,0,11,1379983687
stooli_,133,6,175,36,1379988968
supercatgod,0,264,8492,931,1376775609
sxntosxz,4,1,0,0,1417075140
the_tiny_block,38,6,78,89,1378229312
tonyhill,11,4,78,32,1416724406
truckwithpotato,64,3,3,11,1378231531
ubrl,0,620,13773,2897,1378250515
uyoutouber,7,8,87,87,1378243375
uz9i,63,57,1309,1179,1378354468
vile20,79,98,2501,1663,1378248609
welfyz,0,694,12783,4323,1376776578
xXmaksiulloXx,11,4,24,75,1379993437
xanhs,21,5,61,61,1378237437
xiongou007,2,4,2,24,1378236453
yAdiszon,26,1,0,0,1379983484
ySupremeeHgZ_,49,21,233,292,1417073046
yo21kos,21,12,92,168,1379980250
yuruv,0,1021,23113,4020,1378249812
zZzamaazi,253,1243,59651,7035,1379987890
zazazuzuiuiu,1,2,0,9,1378233578
zedarosa_Dumatem,36,16,349,238,1416816203
zezocombed,17,9,124,193,1416734875
zizl1,29,34,180,875,1378250718
zvijezda,66,4,34,47,1378252812
